Words,Count,Adjusted_Freq,Valence,Subjectivity,,
parental,7,0.000588384,0,0,,
blame,1,8.40548E-05,0,0,,
Full,1,8.40548E-05,0.35,0.55,,
cervical,1,8.40548E-05,0,0,,
concentrated,1,8.40548E-05,0,0,,
talented,2,0.00016811,0.7,0.9,,
mono,1,8.40548E-05,0,0,,
23,8,0.000672438,0,0,,
Primary,2,0.00016811,0.4,0.5,,
s,3,0.000252164,0,0,,
dated,1,8.40548E-05,0,0,,
nearby,1,8.40548E-05,0,0,,
effective,1,8.40548E-05,0.6,0.8,,
60,4,0.000336219,0,0,,
twin,1,8.40548E-05,0,0,,
67,3,0.000252164,0,0,,
constant,22,0.001849206,0,0.333333333,,
runaway,5,0.000420274,0,0,,
fitful,4,0.000336219,0,0,,
divorcedsubject,1,8.40548E-05,0,0,,
capable,1,8.40548E-05,0.2,0.4,,
informed,1,8.40548E-05,0,0,,
extramarital,1,8.40548E-05,0,0,,
jerky,1,8.40548E-05,0,0,,
acro,1,8.40548E-05,0,0,,
followup,1,8.40548E-05,0,0,,
SECOND,1,8.40548E-05,0,0,,
dramatic,3,0.000252164,-0.433333333,0.6,,
standup,2,0.00016811,0,0,,
instant,1,8.40548E-05,0,0.666666667,,
attentive,4,0.000336219,0.4,0.9,,
former,6,0.000504329,0,0,,
1mg,1,8.40548E-05,0,0,,
tribal,1,8.40548E-05,0,0,,
